method,task,unit,rmse,crps
PCA semivariogram,station_holdout,15,0.7972274756388833,0.43367322678403686
PCA semivariogram,station_holdout,16,0.8078784266821183,0.4391204669321259
PCA semivariogram,station_holdout,17,0.7680109030374046,0.42687231410583043
PCA semivariogram,station_holdout,18,0.7488244598240185,0.4170471108595363
PCA semivariogram,station_holdout,19,0.767099059004224,0.42476501226568925
PCA semivariogram,station_holdout,2,0.8193156871214172,0.4467425339051668
PCA semivariogram,station_holdout,3,0.8318296097782277,0.44591656042499334
PCA semivariogram,station_holdout,4,0.772435120711178,0.42480436197815985
PCA semivariogram,station_holdout,5,0.7782803438384416,0.4229176608419521
PCA semivariogram,station_holdout,6,0.8068447855541951,0.4427170778636636
PCA semivariogram,station_holdout,7,0.816544755655197,0.4347737573183839
PCA semivariogram,station_holdout,8,0.8052494276289591,0.436637984182206
PCA semivariogram,station_holdout,9,0.832211262735433,0.4428092630165878
