eqid,_lmc_source_pos,_source_index,_lmc_selected_rank,_lmc_event_rows_available,_lmc_event_rows_selected,station_latitude,station_longitude,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600
1020,7126,7126,18,85,80,34.36622,-116.61266,-0.4358994522984646,-0.4989054461614949,0.2711816475879205,-0.2267116168091875,-7.120882625679806e-05,0.8358670252875473,1.015149778986922,,
1020,7157,7157,19,85,80,33.2801,-115.98585,0.8475124649472893,0.7593739498812101,0.4980650536529744,0.3994758336106651,1.4148533216116757,0.7934548767071832,1.10750520809159,,
1020,7145,7145,20,85,80,33.862,-117.205,0.8920611546134595,0.7712262170703853,0.6679805659509009,1.0866011082106808,-0.0544043481678206,-1.1813624173198312,-1.0659298481805548,,
1020,7158,7158,21,85,80,34.232,-117.235,-0.3020796098997044,-0.2980223923098624,-0.2721347942621202,-0.3568089479462832,-0.6764026966650097,0.1641455978584866,-0.2110090354106218,,
1020,7120,7120,22,85,80,33.051,-114.827,-0.9978095857085753,-1.0255750691970984,-1.3724162533596878,-1.3243745760843424,-0.3141316386148704,1.748111409319289,0.90187695420874,,
1020,7102,7102,23,85,80,33.80776,-117.98116,0.8960845725209022,0.91659221045654,0.7138867015501155,1.035753284438702,0.238727082326609,0.500899180475627,0.9171211136115694,,
1020,7143,7143,24,85,80,34.6145,-118.7235,-1.43071052711867,-1.4231081266296082,-1.481922150761355,-1.6870537788649012,-1.715237423669956,-0.277427705589739,-0.26849588866594,,
1020,7173,7173,25,85,80,32.75904,-115.73161,-0.6618659532742954,-0.6811632586649379,-0.8695717937036597,-0.8760632858063504,0.1313233594862028,0.1518330357171888,0.3266824333514167,,
1020,7169,7169,26,85,80,34.38203,-117.67822,0.6897118918578494,0.6183012486042287,0.287074133363577,0.303204706331755,0.4228736803762847,1.2581645936110888,0.99196037665696,,
1020,7160,7160,27,85,80,32.784,-117.13805,0.5928457099231978,0.5953682025424647,0.5508414471213856,0.2912117265465483,0.6934627430580195,0.0083353749929365,-0.0945507541929263,,
1020,7138,7138,28,85,80,34.78035,-116.55798,-0.772852127478753,-0.6483237718321824,-0.024239654101034,-0.2054590013166788,-0.9959161298180884,-0.4089228893063013,-0.6063002331917258,,
1020,7152,7152,29,85,80,34.10473,-117.97956,0.7791367052821139,0.8146307387658772,0.5405493917032066,0.4555573431088272,0.6745055343536759,0.8115976853356771,0.3292362987123418,,
1020,7098,7098,30,85,80,33.921,-116.981,0.2319922836461892,0.1479053047865867,-0.0527214105765914,0.8153098464218103,-0.0335487309611741,-0.4461858168287575,-0.0532608795521631,,
1020,7097,7097,31,85,80,34.2623,-116.92075,-1.4014357838834406,-1.4680008092228731,-1.4045279445194676,-0.7465078118684559,-1.6909008402464136,-1.0964422810326369,-0.6396638093927347,,
1020,7142,7142,32,85,80,32.608,-116.93,0.3369061756756377,0.3531873555414264,0.8899135846372871,0.7146370694294265,-0.5091531702555914,-1.534550979804737,,,
1020,7113,7113,33,85,80,33.93597,-116.57794,-1.1165431061116409,-1.1473888168126172,-0.5774617525223589,-0.738781220833821,-0.7676364797470823,-1.0211933704668186,-0.6402710810951706,,
1020,7170,7170,34,85,80,34.48364,-118.11783,0.3536258724920741,0.341530070160345,0.4758824401626241,0.3138995928193309,-0.1167506921304594,-0.9025064137616056,-1.0910461087345358,,
1020,7132,7132,35,85,80,33.3516,-116.5615,-2.684202144080007,-2.7520938535886,-2.3933548544386896,-2.0983270575398927,-1.7846018496028166,-1.973410098773645,-1.1229233814695634,,
1020,7156,7156,36,85,80,33.99351,-117.37545,0.6409012392276959,0.5566792164670111,1.159547043399635,1.1927784125455845,0.1013666183975107,-0.4618108058035982,-0.4498942527260903,,
1020,7128,7128,37,85,80,34.9906,-118.34156,0.6856467988558655,0.6603722976632189,0.6279520437170195,0.3816320118270425,0.1068322453274202,-0.9858822004582474,-1.0072559380493096,,
1020,7093,7093,38,85,80,34.55046,-117.43391,-0.6700281027423706,-0.5763990449521412,-0.6754931199281031,-0.1320392025313383,-0.7470589114624466,0.1175898754495341,1.4759988234140913,,
1020,7129,7129,39,85,80,34.80762,-118.86775,0.0088046491947133,1.0949801976088822,0.0396677675705492,-0.5860925585182667,0.0820967474255045,0.4088265980428602,0.0148588573454178,,
1020,7139,7139,40,85,80,34.76759,-114.61881,0.1289604158992224,0.1541216331000093,0.4292129480645294,0.8109426103667867,-0.6161146851442414,0.5974913304752956,0.7042451186398786,,
